"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"265",12,"LeQuint Allen Jr.",JAC,"RB74","7","2 out of 5","4 out of 5","4 out of 5 stars","+118"
"266",12,"Kaelon Black",SF,"RB75","8","3 out of 5","4 out of 5","2 out of 5 stars","-28"
"267",12,"Caleb Douglas",MIA,"WR97","6","2 out of 5","4 out of 5","3 out of 5 stars","-26"
"268",12,"Chris Brooks",GB,"RB76","11","2 out of 5","4 out of 5","4 out of 5 stars","+126"
"269",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-82"
"270",12,"Jordan James",SF,"RB77","8","2 out of 5","4 out of 5","2 out of 5 stars","-37"
"271",12,"Samaje Perine",CIN,"RB78","6","2 out of 5","4 out of 5","2 out of 5 stars","+12"
"272",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+16"
"273",12,"Xavier Legette",CAR,"WR98","5","2 out of 5","4 out of 5","2 out of 5 stars","+149"
"274",12,"Darius Slayton",NYG,"WR99","8","3 out of 5","4 out of 5","4 out of 5 stars","+140"
"275",12,"Tyquan Thornton",KC,"WR100","5","2 out of 5","5 out of 5","2 out of 5 stars","+128"
"276",12,"Trey Benson",ARI,"RB79","14","2 out of 5","4 out of 5","2 out of 5 stars","+50"
"277",12,"Marvin Mims Jr.",DEN,"WR101","10","3 out of 5","4 out of 5","2 out of 5 stars","+15"
"278",12,"Eli Stowers",PHI,"TE34","10","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"279",12,"Theo Johnson",NYG,"TE35","8","1 out of 5","5 out of 5","3 out of 5 stars","+31"
"280",12,"DJ Giddens",IND,"RB80","13","2 out of 5","4 out of 5","4 out of 5 stars","+27"
"281",12,"Najee Harris",NYG,"RB81","8","2 out of 5","4 out of 5","4 out of 5 stars","-34"
"282",12,"Michael Penix Jr.",ATL,"QB32","11","1 out of 5","5 out of 5","4 out of 5 stars","+7"
"283",12,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-63"
"284",12,"Oscar Delp",NO,"TE36","8","4 out of 5","4 out of 5","2 out of 5 stars","+236"
"285",12,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","+16"
"286",12,"Cyrus Allen",KC,"WR102","5","4 out of 5","4 out of 5","2 out of 5 stars","-83"
"287",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+84"
"288",12,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-48"
"289",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-34"
"290",12,"Devin Neal",NO,"RB82","8","2 out of 5","4 out of 5","3 out of 5 stars","+19"
"291",12,"Malik Davis",DAL,"RB83","14","-","-","4 out of 5 stars","+113"
"292",12,"Brashard Smith",KC,"RB84","5","-","-","3 out of 5 stars","+11"
"293",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-67"
"294",12,"Adam Randall",BAL,"RB85","13","3 out of 5","4 out of 5","3 out of 5 stars","+248"
"295",12,"Kaleb Johnson",PIT,"RB86","9","1 out of 5","5 out of 5","2 out of 5 stars","-29"
"296",12,"Seth McGowan",IND,"RB87","13","4 out of 5","4 out of 5","4 out of 5 stars","+138"
"297",12,"Kyle Williams",NE,"WR103","11","-","-","2 out of 5 stars","-18"
"298",12,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+26"
"299",12,"Devin Singletary",NYG,"RB88","8","-","-","4 out of 5 stars","+1"
"300",12,"Kendre Miller",NO,"RB89","8","2 out of 5","4 out of 5","3 out of 5 stars","+38"
"301",12,"Emari Demercado",KC,"RB90","5","1 out of 5","5 out of 5","3 out of 5 stars","+56"
"302",12,"Brandon Aiyuk",SF,"WR105","8","2 out of 5","5 out of 5","2 out of 5 stars","-20"
"303",12,"Mack Hollins",NE,"WR106","11","-","-","2 out of 5 stars","+36"
"304",12,"Isaiah Bond",CLE,"WR107","11","-","-","3 out of 5 stars","+71"
"305",12,"Mike Gesicki",CIN,"TE37","6","-","-","3 out of 5 stars","+35"
"306",12,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+230"
"307",12,"Skyler Bell",BUF,"WR108","7","-","-","4 out of 5 stars","+15"
"308",12,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+5"
"309",12,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-31"
"310",12,"Isaac Guerendo",SF,"RB92","8","-","-","2 out of 5 stars","-"
"311",13,"Jerome Ford",WAS,"RB93","7","2 out of 5","4 out of 5","4 out of 5 stars","-"
"312",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+79"
"313",13,"Tyreek Hill",FA,"WR110","-","1 out of 5","5 out of 5","-","-96"
"314",13,"Tahj Brooks",CIN,"RB94","6","-","-","2 out of 5 stars","+160"
"315",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-45"
"316",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-118"
"317",13,"Jaleel McLaughlin",DEN,"RB95","10","-","-","2 out of 5 stars","+292"
"318",13,"Jarquez Hunter",LAR,"RB96","11","-","-","5 out of 5 stars","+50"
"319",13,"Will Shipley",PHI,"RB97","10","-","-","4 out of 5 stars","+183"
"320",13,"Audric Estime",NO,"RB98","8","-","-","3 out of 5 stars","+41"
"321",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-30"
"322",13,"Darren Waller",CAR,"TE40","5","-","-","2 out of 5 stars","+106"
"323",13,"Jahan Dotson",ATL,"WR111","11","-","-","3 out of 5 stars","+109"
"324",13,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+89"
"325",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-115"
"326",13,"DeMario Douglas",NE,"WR112","11","-","-","2 out of 5 stars","+143"
"327",13,"Jalen Tolbert",MIA,"WR113","6","-","-","3 out of 5 stars","-29"
"328",13,"J.J. McCarthy",MIN,"QB36","6","-","-","5 out of 5 stars","-70"
"329",13,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","-14"
"330",13,"Bryce Lance",NO,"WR114","8","-","-","3 out of 5 stars","+158"
"331",13,"Joe Mixon",FA,"RB99","-","-","-","-","-8"
"332",13,"Kareem Hunt",FA,"RB100","-","-","-","-","-15"
"333",13,"Carson Beck",ARI,"QB37","14","-","-","2 out of 5 stars","-34"
"334",13,"Konata Mumpfield",LAR,"WR115","11","-","-","1 out of 5 stars","+51"
"335",13,"Cedric Tillman",CLE,"WR116","11","-","-","3 out of 5 stars","+251"
"336",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+234"
"337",13,"Jalen Royals",KC,"WR118","5","-","-","2 out of 5 stars","+305"
"338",13,"Olamide Zaccheaus",ATL,"WR119","11","-","-","3 out of 5 stars","+168"
"339",13,"Chris Brazzell II",CAR,"WR120","5","-","-","2 out of 5 stars","+238"
"340",13,"Tyler Higbee",LAR,"TE43","11","-","-","4 out of 5 stars","-12"
"341",13,"Calvin Austin III",NYG,"WR121","8","-","-","4 out of 5 stars","+142"
"342",13,"Xavier Hutchinson",HOU,"WR122","8","-","-","3 out of 5 stars","+224"
"343",13,"Erick All Jr.",CIN,"TE44","6","-","-","3 out of 5 stars","-"
"344",13,"Cole Kmet",CHI,"TE45","10","-","-","2 out of 5 stars","-50"
"345",13,"Luke McCaffrey",WAS,"WR123","7","-","-","2 out of 5 stars","-15"
"346",13,"Max Klare",LAR,"TE46","11","-","-","4 out of 5 stars","+53"
"347",13,"Eli Raridon",NE,"TE47","11","-","-","4 out of 5 stars","+17"
"348",13,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-17"
"349",13,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-86"
"350",13,"Eli Heidenreich",PIT,"RB101","9","-","-","2 out of 5 stars","+174"
"351",13,"Noah Gray",KC,"TE48","5","-","-","4 out of 5 stars","-3"
"352",13,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-124"
"353",13,"Dawson Knox",BUF,"TE49","7","-","-","3 out of 5 stars","-34"
"354",13,"Bam Knight",ARI,"RB102","14","-","-","2 out of 5 stars","-"
"355",13,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-130"
"356",13,"Charlie Kolar",LAC,"TE50","7","-","-","4 out of 5 stars","+154"
"357",13,"Brenen Thompson",LAC,"WR124","7","-","-","2 out of 5 stars","+210"
"358",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-47"
"359",14,"Kendrick Bourne",ARI,"WR125","14","-","-","2 out of 5 stars","+215"
"360",14,"Joshua Palmer",BUF,"WR126","7","-","-","4 out of 5 stars","-42"
"361",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-14"
"362",14,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-110"
"363",14,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","+184"
"364",14,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-79"
"365",14,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-114"
"366",14,"Malik Benson",LV,"WR127","13","-","-","2 out of 5 stars","+271"
"367",14,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","-"
"368",14,"Treylon Burks",WAS,"WR128","7","-","-","2 out of 5 stars","+186"
"369",14,"Cincinnati Bengals",CIN,"DST26","6","-","-","4 out of 5 stars","-97"
"370",14,"Zane Gonzalez",FA,"K21","-","-","-","-","+167"
"371",14,"Kalif Raymond",CHI,"WR129","10","-","-","3 out of 5 stars","+58"
"372",14,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","+112"
"373",14,"Savion Williams",GB,"WR130","11","-","-","5 out of 5 stars","-"
"374",14,"Kevin Coleman Jr.",MIA,"WR131","6","-","-","3 out of 5 stars","+154"
"375",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+184"
"376",14,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","+182"
"377",14,"Roman Wilson",PIT,"WR132","9","-","-","3 out of 5 stars","+24"
"378",14,"Tennessee Titans",TEN,"DST27","9","-","-","2 out of 5 stars","-118"
"379",14,"KaVontae Turpin",DAL,"WR133","14","-","-","2 out of 5 stars","-27"
"380",14,"Dont'e Thornton Jr.",LV,"WR134","13","-","-","2 out of 5 stars","+185"
"381",14,"John Metchie III",CAR,"WR135","5","-","-","2 out of 5 stars","+50"
"382",14,"Phil Mafah",DAL,"RB106","14","-","-","4 out of 5 stars","-"
"383",14,"Trey Smack",GB,"K22","11","-","-","4 out of 5 stars","-127"
"384",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","+46"
"385",14,"Tutu Atwell",MIA,"WR136","6","-","-","3 out of 5 stars","+62"
"386",14,"Jaylin Lane",WAS,"WR137","7","-","-","2 out of 5 stars","+145"
"387",14,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-112"
"388",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-72"
"389",14,"Jam Miller",NE,"RB107","11","-","-","2 out of 5 stars","-"
"390",14,"Zavion Thomas",CHI,"WR138","10","-","-","3 out of 5 stars","-12"
"391",14,"Nick Westbrook-Ikhine",IND,"WR139","13","-","-","4 out of 5 stars","+148"
"392",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-95"
"393",14,"Tommy Tremble",CAR,"TE54","5","-","-","2 out of 5 stars","+34"
"394",14,"CJ Daniels",LAR,"WR140","11","-","-","1 out of 5 stars","+97"
"395",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-74"
"396",14,"J'Mari Taylor",JAC,"RB108","7","-","-","4 out of 5 stars","-"
"397",14,"Luke Musgrave",GB,"TE55","11","-","-","2 out of 5 stars","-44"
"398",14,"Demarcus Robinson",SF,"WR141","8","-","-","2 out of 5 stars","+180"
"399",14,"Devontez Walker",BAL,"WR142","13","-","-","4 out of 5 stars","-36"
"400",14,"Roschon Johnson",CHI,"RB109","10","-","-","2 out of 5 stars","+208"
"401",14,"Kyle Juszczyk",SF,"RB110","8","-","-","2 out of 5 stars","-28"
"402",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+63"
"403",14,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"404",14,"Austin Ekeler",FA,"RB112","-","-","-","-","+214"
"405",14,"Mitchell Evans",CAR,"TE56","5","-","-","2 out of 5 stars","-"
"406",14,"John Bates",WAS,"TE57","7","-","-","1 out of 5 stars","-"
"407",14,"Colbie Young",CIN,"WR143","6","-","-","4 out of 5 stars","+70"
"408",14,"Sione Vaki",DET,"RB113","6","-","-","5 out of 5 stars","-"
"409",14,"Ashton Dulin",IND,"WR144","13","-","-","4 out of 5 stars","-"
"410",14,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-31"
"411",14,"Daniel Bellinger",TEN,"TE58","9","-","-","3 out of 5 stars","+140"
"412",14,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-104"
"413",14,"Ben Sinnott",WAS,"TE59","7","-","-","1 out of 5 stars","-"
"414",14,"Jordan Whittington",LAR,"WR145","11","-","-","1 out of 5 stars","-58"
"415",14,"Joey Slye",TEN,"K25","9","-","-","4 out of 5 stars","-129"
"416",14,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-139"
"417",14,"Isaiah Williams",NYJ,"WR146","13","-","-","4 out of 5 stars","+145"
"418",14,"Chad Ryland",ARI,"K26","14","-","-","2 out of 5 stars","-69"
"419",14,"Ryan Fitzgerald",CAR,"K27","5","-","-","0 out of 5 stars","-84"
"420",14,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-38"
"421",14,"Brandon McManus",FA,"K28","-","-","-","-","-51"
"422",14,"Daniel Carlson",LV,"K29","13","-","-","1 out of 5 stars","+116"
"423",15,"Washington Commanders",WAS,"DST30","7","-","-","2 out of 5 stars","-139"
"424",15,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-97"
"425",15,"Austin Hooper",ATL,"TE60","11","-","-","3 out of 5 stars","+132"
"426",15,"Barion Brown",NO,"WR147","8","-","-","3 out of 5 stars","+14"
"427",15,"Odell Beckham Jr.",NYG,"WR148","8","-","-","4 out of 5 stars","-102"
"428",15,"Dameon Pierce",PHI,"RB114","10","-","-","4 out of 5 stars","-"
"429",15,"Tommy Myers",FA,"TE61","-","-","-","-","-"
"430",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-32"
"431",15,"Ronnie Rivers",LAR,"RB115","11","-","-","5 out of 5 stars","-"
"432",15,"Tyler Goodson",ATL,"RB116","11","-","-","2 out of 5 stars","-"
"433",15,"Greg Dortch",DET,"WR149","6","-","-","4 out of 5 stars","+59"
"434",15,"Zavier Scott",MIN,"RB117","6","-","-","4 out of 5 stars","-"
"435",15,"Elijah Higgins",ARI,"TE62","14","-","-","2 out of 5 stars","-38"
"436",15,"Jeremy McNichols",WAS,"RB118","7","-","-","4 out of 5 stars","-"
"437",15,"Khalil Herbert",SF,"RB119","8","-","-","2 out of 5 stars","-"
"438",15,"Ty Chandler",NO,"RB120","8","-","-","3 out of 5 stars","-"
"439",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-96"
"440",15,"Tai Felton",MIN,"WR150","6","-","-","5 out of 5 stars","+53"
"441",15,"Noah Whittington",HOU,"RB121","8","-","-","4 out of 5 stars","-"
"442",15,"Robert Henry Jr.",WAS,"RB122","7","-","-","4 out of 5 stars","-"
"443",15,"Jake Moody",FA,"K32","-","-","-","-","-107"
"444",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+68"
"445",15,"Dylan Laube",LV,"RB123","13","-","-","2 out of 5 stars","-"
"446",15,"Damien Martinez",GB,"RB124","11","-","-","4 out of 5 stars","-"
"447",15,"Jacob Cowing",SF,"WR151","8","-","-","2 out of 5 stars","-"
"448",15,"Deion Burks",IND,"WR152","13","-","-","4 out of 5 stars","-"
"449",15,"Reggie Gilliam",NE,"RB125","11","-","-","2 out of 5 stars","+135"
"450",15,"Zach Ertz",FA,"TE63","-","-","-","-","+170"
"451",15,"Jonnu Smith",FA,"TE64","-","-","-","-","-"
"452",15,"Drew Stevens",WAS,"K33","7","-","-","5 out of 5 stars","-80"
"453",15,"Terrell Jennings",FA,"RB126","-","-","-","-","-"
"454",15,"Xavier Smith",LAR,"WR153","11","-","-","1 out of 5 stars","+36"
"455",15,"Xavier Restrepo",TEN,"WR154","9","-","-","3 out of 5 stars","-"
"456",15,"Dyami Brown",WAS,"WR155","7","-","-","2 out of 5 stars","+182"
"457",15,"Cash Jones",ATL,"RB127","11","-","-","2 out of 5 stars","-"
"458",15,"Marlin Klein",HOU,"TE65","8","-","-","4 out of 5 stars","+102"
"459",15,"Hunter Luepke",DAL,"RB128","14","-","-","4 out of 5 stars","+20"
"460",15,"Josh Oliver",MIN,"TE66","6","-","-","4 out of 5 stars","-86"
"461",15,"Frank Gore Jr.",BUF,"RB129","7","-","-","2 out of 5 stars","+56"
"462",15,"Tim Patrick",NYJ,"WR156","13","-","-","4 out of 5 stars","-9"
"463",15,"Roman Hemby",LV,"RB130","13","-","-","2 out of 5 stars","-"
"464",15,"Quinn Ewers",MIA,"QB48","6","-","-","3 out of 5 stars","-14"
"465",15,"Donovan Edwards",MIA,"RB131","6","-","-","3 out of 5 stars","-"
"466",15,"Antonio Gibson",FA,"RB132","-","-","-","-","+157"
"467",15,"Jahdae Walker",CHI,"WR157","10","-","-","3 out of 5 stars","-23"
"468",15,"Matt Hibner",BAL,"TE67","13","-","-","4 out of 5 stars","-"
"469",15,"Elijah Moore",PHI,"WR158","10","-","-","4 out of 5 stars","-"
"470",15,"Theo Wease Jr.",MIA,"WR159","6","-","-","3 out of 5 stars","-"
"471",15,"Juice Wells Jr.",ATL,"WR160","11","-","-","3 out of 5 stars","-"
"472",15,"DeAndre Hopkins",BAL,"WR161","13","-","-","4 out of 5 stars","+68"
"473",15,"Will Kacmarek",MIA,"TE68","6","-","-","5 out of 5 stars","+75"
"474",15,"Miles Davis",CAR,"RB133","5","-","-","1 out of 5 stars","-"
"475",15,"Jalen Reagor",MIA,"WR162","6","-","-","3 out of 5 stars","+178"
"476",15,"Tanner Koziol",JAC,"TE69","7","-","-","3 out of 5 stars","+58"
"477",15,"Van Jefferson",WAS,"WR163","7","-","-","2 out of 5 stars","+36"
"478",15,"Miles Sanders",FA,"RB134","-","-","-","-","-"
"479",15,"Mitch Tinsley",CIN,"WR164","6","-","-","4 out of 5 stars","+97"
"480",15,"Travis Homer",PIT,"RB135","9","-","-","2 out of 5 stars","+113"
"481",15,"Jackson Hawes",BUF,"TE70","7","-","-","3 out of 5 stars","-44"
"482",15,"Elijah Mitchell",FA,"RB136","-","-","-","-","-"
"483",15,"Brandin Cooks",FA,"WR165","-","-","-","-","-"
"484",15,"Cedrick Wilson Jr.",DET,"WR166","6","-","-","4 out of 5 stars","+175"
"485",15,"Lew Nichols III",PIT,"RB137","9","-","-","2 out of 5 stars","-"
"486",15,"Luke Schoonmaker",DAL,"TE71","14","-","-","2 out of 5 stars","-128"
"487",15,"Tyler Lockett",LV,"WR167","13","-","-","2 out of 5 stars","-"
"488",15,"Reggie Virgil",ARI,"WR168","14","-","-","2 out of 5 stars","+95"
"489",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-144"
"490",15,"Scotty Miller",CHI,"WR169","10","-","-","3 out of 5 stars","-"
"491",15,"Jaret Patterson",LAC,"RB138","7","-","-","3 out of 5 stars","-"
"492",15,"Nate Boerkircher",JAC,"TE72","7","-","-","3 out of 5 stars","+80"
"493",15,"Marquez Valdes-Scantling",DAL,"WR170","14","-","-","2 out of 5 stars","+103"
"494",15,"Adam Trautman",DEN,"TE73","10","-","-","4 out of 5 stars","-59"
"495",15,"Gardner Minshew II",ARI,"QB49","14","-","-","2 out of 5 stars","+92"
"496",15,"Jordan Watkins",SF,"WR171","8","-","-","2 out of 5 stars","-"
"497",15,"Sam Roush",CHI,"TE74","10","-","-","2 out of 5 stars","0"
"498",15,"Taysom Hill",FA,"TE75","-","-","-","-","+28"
"499",15,"Myles Montgomery",FA,"RB139","-","-","-","-","-"
"500",15,"Michael Woods II",DEN,"WR172","10","-","-","2 out of 5 stars","-"
"501",15,"Jaydn Ott",KC,"RB140","5","-","-","3 out of 5 stars","-"
"502",15,"Jeremy Ruckert",NYJ,"TE76","13","-","-","4 out of 5 stars","+137"
"503",15,"Nathan Carter",ATL,"RB141","11","-","-","2 out of 5 stars","-"
"504",15,"Jalen Milroe",SEA,"QB50","11","-","-","4 out of 5 stars","+14"
"505",15,"David Sills V",TB,"WR173","10","-","-","4 out of 5 stars","-"
"506",15,"Jimmy Horn Jr.",CAR,"WR174","5","-","-","2 out of 5 stars","+65"
"507",16,"Michael Trigg",DAL,"TE77","14","-","-","2 out of 5 stars","-101"
"508",16,"Tyler Conklin",DET,"TE78","6","-","-","3 out of 5 stars","+72"
"509",16,"Mason Rudolph",PIT,"QB51","9","-","-","2 out of 5 stars","+82"
"510",16,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-205"
"511",16,"Mo Alie-Cox",IND,"TE79","13","-","-","3 out of 5 stars","-119"
"512",16,"Foster Moreau",HOU,"TE80","8","-","-","4 out of 5 stars","-"
"513",16,"Jermaine Burton",FA,"WR175","-","-","-","-","-"
"514",16,"Tyrod Taylor",GB,"QB52","11","-","-","4 out of 5 stars","-95"
"515",16,"Drew Sample",CIN,"TE81","6","-","-","3 out of 5 stars","+48"
"516",16,"Josh Cameron",JAC,"WR176","7","-","-","4 out of 5 stars","+140"
"517",16,"Kendrick Law",DET,"WR177","6","-","-","4 out of 5 stars","-"
"518",16,"Trey Lance",LAC,"QB53","7","-","-","2 out of 5 stars","-47"
"519",16,"JuJu Smith-Schuster",FA,"WR178","-","-","-","-","-154"
"520",16,"Lil'Jordan Humphrey",DEN,"WR179","10","-","-","2 out of 5 stars","-183"
